Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species
95d0c45bb80bfa3ad3b8aacbcb1f2763,Bacteria, Actinobacteriota, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, Bifidobacterium_breve
042ebcb09fb4acfde642d1baa1bd4a79,Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium, Corynebacterium_imitans
2a3cc7f0bc855457f45845fd883a2236,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, Bacteroides_massiliensis
f42ec1808a8479b25570fde6d0183198,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
0fbec033e593c3a306346ed751eed2aa,Bacteria, Fusobacteriota, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Leptotrichia,
da768fe8b698b36ba789561805fe2688,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
5dddd53f4eb2097e07ba37070ca5b692,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_gasseri
596ec14729437331e31fdcc76173c463,Bacteria, Actinobacteriota, Coriobacteriia, Coriobacteriales, Atopobiaceae, Atopobium, Atopobium_vaginae
491d13e83786abafb7d043ac0ad103e6,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella_sp.
675394a17f1c192e9349b473513b3c4c,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas,
8d6f870ce582e8b3fc769288a834ca2f,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pasteurellaceae, Haemophilus, Haemophilus_parainfluenzae
3f02325b29ddd37544b5afe1637da0cf,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiales_Incertae_Sedis, Phreatobacter, uncultured_Alphaproteobacteria
eaa5a100b4c4dcc7643eb0b04bb23dbe,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
ec5227780db8f3bb197ac50ca485ee26,Bacteria, Firmicutes, Negativicutes, Veillonellales-Selenomonadales, Veillonellaceae, Veillonella,
0458743e6c8ad31aefc50f0728c00525,Bacteria, Actinobacteriota, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, Bifidobacterium_bifidum
850540199c743f36c22dc3b6c0a38386,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_jensenii
f7c4906443347757aa66397f0df1a0ac,Bacteria, Firmicutes, Negativicutes, Veillonellales-Selenomonadales, Veillonellaceae, Veillonella,
3b9ad18b0c47f8511bb11e7217181314,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
839684b7031026f5ba7b1cf3c9321ac9,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus, Lactobacillus_coleohominis
c69f799816188618847e5ad739bb2ade,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family_XI, Finegoldia, Finegoldia_magna
1cc1d336a897d4cda815a6b902653c8a,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
4361a08e6f2d8173a0f292fa66335bcd,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus,
5d4dac6d5fb49c653a7b8862cd653c92,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Oribacterium, Eubacterium_sp.
e726e9775f8681b2c3aa77700828b7f5,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
313a07f4b9ec8bfe7c9787105f194eaf,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus, Lactobacillus_coleohominis
077505e7b08665f17cd134c31c7f8f14,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, Streptococcus_mitis
9986f36885b55bd2b5e65cdb8aee4f40,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
024cfe0c5f289cf40830b83d15f6ba3e,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family_XI, Peptoniphilus, Peptoniphilus_urinimassiliensis
8f1f8ab20bac852ae7d416b69505e01d,Bacteria, Actinobacteriota, Coriobacteriia, Coriobacteriales, Atopobiaceae, Atopobium, Atopobium_vaginae
47faf33d8ebe952bff25600d385b9a35,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
8dc782c137c91d09debdbb83087e6ead,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_jensenii
6d4ee42347b4de370926f8e332dea423,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
3589741f5c15f962ba7dee095ca8cb92,Bacteria, Actinobacteriota, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, Bifidobacterium_breve
731bbb96b84fcb375df4d1fcb3e7cd4b,Bacteria, Actinobacteriota, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, Bifidobacterium_animalis
8d20f96270c80df22c286e6aa395d854,Bacteria, Actinobacteriota, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium,
